Metric,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,F-MeasurePositive,F-MeasureNegative,recallPositive,precisionPositive,recallNegative,precisionNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polarityGpc,noExtension_textblob_textLemma_noStopwordList_caseInSensitive,noExtension,textblob,textLemma,noStopwordList,caseInSensitive,"0,645","0,3364485981","0,7576791809","0,2950819672","0,3913043478","0,7985611511","0,7207792208","0,5468215591","0,5560417843","0,5470638895",18,28,111,43
polarityGpc,noExtension_textblob_bothLemma_noStopwordList_caseInSensitive,noExtension,textblob,bothLemma,noStopwordList,caseInSensitive,"0,645","0,3486238532","0,7560137457","0,3114754098","0,3958333333","0,7913669065","0,7236842105","0,5514211582","0,5597587719","0,5523187995",19,29,110,42
polarityGpc,noExtension_tokens_noLemma_noStopwordList_caseInSensitive,noExtension,tokens,noLemma,noStopwordList,caseInSensitive,"0,64","0,4098360656","0,7410071942","0,4098360656","0,4098360656","0,7410071942","0,7410071942","0,5754216299","0,5754216299","0,5754216299",25,36,103,36
polarityGpc,noExtension_tokens_noLemma_noStopwordList_caseSensitive,noExtension,tokens,noLemma,noStopwordList,caseSensitive,"0,64","0,3684210526","0,7482517483","0,3442622951","0,3962264151","0,7697841727","0,7278911565","0,5570232339","0,5620587858","0,5583364004",21,32,107,40
polarityGpc,noExtension_textblob_textLemma_noStopwordList_caseSensitive,noExtension,textblob,textLemma,noStopwordList,caseSensitive,"0,635","0,2772277228","0,7558528428","0,2295081967","0,35","0,8129496403","0,70625","0,5212289185","0,528125","0,5165402828",14,26,113,47
polarityGpc,noExtension_treetagger_textLemma_noStopwordList_caseInSensitive,noExtension,treetagger,textLemma,noStopwordList,caseInSensitive,"0,625","0,358974359","0,7349823322","0,3442622951","0,375","0,7482014388","0,7222222222","0,546231867","0,5486111111","0,5469783456",21,35,104,40
polarityGpc,noExtension_treetagger_textLemma_noStopwordList_caseSensitive,noExtension,treetagger,textLemma,noStopwordList,caseSensitive,"0,62","0,3333333333","0,7342657343","0,3114754098","0,358490566","0,7553956835","0,7142857143","0,5334355466","0,5363881402","0,5337995338",19,34,105,42
polarityGpc,dtaExtended_textblob_textLemma_enhancedFilteredList_caseSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,605","0,5269461078","0,660944206","0,7213114754","0,4150943396","0,5539568345","0,8191489362","0,637634155","0,6171216379","0,5939451569",44,62,77,17
polarityGpc,dtaExtended_textblob_textLemma_enhancedFilteredList_caseInSensitive,dtaExtended,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,6","0,5238095238","0,6551724138","0,7213114754","0,4112149533","0,5467625899","0,8172043011","0,6340370327","0,6142096272","0,5894909688",44,63,76,17
polarityGpc,dtaExtended_tokens_noLemma_enhancedFilteredList_caseInSensitive,dtaExtended,tokens,noLemma,enhancedFilteredList,caseInSensitive,"0,59","0,5060240964","0,6495726496","0,6885245902","0,4","0,5467625899","0,8","0,61764359","0,6","0,577798373",42,63,76,19
