Lexicon,CombinationType,DTAExtension,Lemmatizer,LemmatizationType,Stopwords,CaseSensitivity,accuracy,recallPositive,precisionPositive,F-MeasurePositive,recallNegative,precisionNegative,F-MeasureNegative,recallAverage,precisionAverage,F-MeasureAverage,truePositives,falsePositives,trueNegatives,falseNegatives
polaritySentiWS,noExtension_treetagger_textLemma_standardList_caseInSensitive,noExtension,treetagger,textLemma,standardList,caseInSensitive,"0,56","0,6229508197","0,3689320388","0,4634146341","0,5323741007","0,7628865979","0,6271186441","0,5776624602","0,5659093184","0,5452666391",38,65,74,23
polaritySentiWS,noExtension_treetagger_textLemma_standardList_caseSensitive,noExtension,treetagger,textLemma,standardList,caseSensitive,"0,555","0,606557377","0,362745098","0,4539877301","0,5323741007","0,7551020408","0,6244725738","0,5694657389","0,5589235694","0,539230152",37,65,74,24
polaritySentiWS,noExtension_treetagger_textLemma_enhancedList_caseInSensitive,noExtension,treetagger,textLemma,enhancedList,caseInSensitive,"0,595","0,4262295082","0,3611111111","0,3909774436","0,6690647482","0,7265625","0,6966292135","0,5476471282","0,5438368056","0,5438033285",26,46,93,35
polaritySentiWS,noExtension_treetagger_textLemma_enhancedList_caseSensitive,noExtension,treetagger,textLemma,enhancedList,caseSensitive,"0,59","0,4098360656","0,3521126761","0,3787878788","0,6690647482","0,7209302326","0,6940298507","0,5394504069","0,5365214543","0,5364088648",25,46,93,36
polaritySentiWS,noExtension_treetagger_textLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseInSensitive,"0,57","0,5901639344","0,3711340206","0,4556962025","0,5611510791","0,7572815534","0,6446280992","0,5756575068","0,564207787","0,5501621509",36,61,78,25
polaritySentiWS,noExtension_treetagger_textLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,textLemma,enhancedFilteredList,caseSensitive,"0,57","0,5901639344","0,3711340206","0,4556962025","0,5611510791","0,7572815534","0,6446280992","0,5756575068","0,564207787","0,5501621509",36,61,78,25
polaritySentiWS,noExtension_textblob_textLemma_noStopwordList_caseInSensitive,noExtension,textblob,textLemma,noStopwordList,caseInSensitive,"0,555","0,5573770492","0,3541666667","0,4331210191","0,5539568345","0,7403846154","0,633744856","0,5556669419","0,547275641","0,5334329375",34,62,77,27
polaritySentiWS,noExtension_textblob_textLemma_noStopwordList_caseSensitive,noExtension,textblob,textLemma,noStopwordList,caseSensitive,"0,535","0,5573770492","0,34","0,4223602484","0,5251798561","0,73","0,6108786611","0,5412784526","0,535","0,5166194548",34,66,73,27
polaritySentiWS,noExtension_textblob_textLemma_standardList_caseInSensitive,noExtension,textblob,textLemma,standardList,caseInSensitive,"0,555","0,5573770492","0,3541666667","0,4331210191","0,5539568345","0,7403846154","0,633744856","0,5556669419","0,547275641","0,5334329375",34,62,77,27
polaritySentiWS,noExtension_textblob_textLemma_standardList_caseSensitive,noExtension,textblob,textLemma,standardList,caseSensitive,"0,535","0,5573770492","0,34","0,4223602484","0,5251798561","0,73","0,6108786611","0,5412784526","0,535","0,5166194548",34,66,73,27
polaritySentiWS,noExtension_textblob_textLemma_enhancedList_caseInSensitive,noExtension,textblob,textLemma,enhancedList,caseInSensitive,"0,57","0,4262295082","0,3376623377","0,3768115942","0,6330935252","0,7154471545","0,6717557252","0,5296615167","0,5265547461","0,5242836597",26,51,88,35
polaritySentiWS,noExtension_textblob_textLemma_enhancedList_caseSensitive,noExtension,textblob,textLemma,enhancedList,caseSensitive,"0,54","0,4098360656","0,3086419753","0,3521126761","0,5971223022","0,6974789916","0,6434108527","0,5034791839","0,5030604835","0,4977617644",25,56,83,36
polaritySentiWS,noExtension_textblob_textLemma_enhancedFilteredList_caseInSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseInSensitive,"0,57","0,5245901639","0,3595505618","0,4266666667","0,5899280576","0,7387387387","0,656","0,5572591107","0,5491446503","0,5413333333",32,57,82,29
polaritySentiWS,noExtension_textblob_textLemma_enhancedFilteredList_caseSensitive,noExtension,textblob,textLemma,enhancedFilteredList,caseSensitive,"0,545","0,5245901639","0,3404255319","0,4129032258","0,5539568345","0,7264150943","0,6285714286","0,5392734992","0,5334203131","0,5207373272",32,62,77,29
polaritySentiWS,noExtension_treetagger_bothLemma_noStopwordList_caseInSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseInSensitive,"0,57","0,6229508197","0,3762376238","0,4691358025","0,5467625899","0,7676767677","0,6386554622","0,5848567048","0,5719571957","0,5538956323",38,63,76,23
polaritySentiWS,noExtension_treetagger_bothLemma_noStopwordList_caseSensitive,noExtension,treetagger,bothLemma,noStopwordList,caseSensitive,"0,57","0,6229508197","0,3762376238","0,4691358025","0,5467625899","0,7676767677","0,6386554622","0,5848567048","0,5719571957","0,5538956323",38,63,76,23
polaritySentiWS,noExtension_treetagger_bothLemma_standardList_caseInSensitive,noExtension,treetagger,bothLemma,standardList,caseInSensitive,"0,57","0,6229508197","0,3762376238","0,4691358025","0,5467625899","0,7676767677","0,6386554622","0,5848567048","0,5719571957","0,5538956323",38,63,76,23
polaritySentiWS,noExtension_treetagger_bothLemma_standardList_caseSensitive,noExtension,treetagger,bothLemma,standardList,caseSensitive,"0,57","0,6229508197","0,3762376238","0,4691358025","0,5467625899","0,7676767677","0,6386554622","0,5848567048","0,5719571957","0,5538956323",38,63,76,23
polaritySentiWS,noExtension_treetagger_bothLemma_enhancedList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedList,caseInSensitive,"0,6","0,3770491803","0,3538461538","0,3650793651","0,6978417266","0,7185185185","0,7080291971","0,5374454535","0,5361823362","0,5365542811",23,42,97,38
polaritySentiWS,noExtension_treetagger_bothLemma_enhancedList_caseSensitive,noExtension,treetagger,bothLemma,enhancedList,caseSensitive,"0,6","0,3770491803","0,3538461538","0,3650793651","0,6978417266","0,7185185185","0,7080291971","0,5374454535","0,5361823362","0,5365542811",23,42,97,38
polaritySentiWS,noExtension_treetagger_bothLemma_enhancedFilteredList_caseInSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseInSensitive,"0,58","0,5573770492","0,3736263736","0,4473684211","0,5899280576","0,752293578","0,6612903226","0,5736525534","0,5629599758","0,5543293718",34,57,82,27
polaritySentiWS,noExtension_treetagger_bothLemma_enhancedFilteredList_caseSensitive,noExtension,treetagger,bothLemma,enhancedFilteredList,caseSensitive,"0,58","0,5573770492","0,3736263736","0,4473684211","0,5899280576","0,752293578","0,6612903226","0,5736525534","0,5629599758","0,5543293718",34,57,82,27
polaritySentiWS,noExtension_textblob_bothLemma_noStopwordList_caseInSensitive,noExtension,textblob,bothLemma,noStopwordList,caseInSensitive,"0,575","0,5737704918","0,3723404255","0,4516129032","0,5755395683","0,7547169811","0,6530612245","0,5746550301","0,5635287033","0,5523370639",35,59,80,26
polaritySentiWS,noExtension_textblob_bothLemma_noStopwordList_caseSensitive,noExtension,textblob,bothLemma,noStopwordList,caseSensitive,"0,54","0,5409836066","0,3402061856","0,417721519","0,5395683453","0,7281553398","0,6198347107","0,5402759759","0,5341807627","0,5187781149",33,64,75,28
